Nationality,count
Algeria,3
Argentina,13
Australia,2
Austria,1
Belgium,13
Bosnia and Herzegovina,2
Brazil,24
Burkina Faso,1
Cameroon,2
Colombia,5
Cote d'Ivoire,7
Croatia,3
Czech Republic,1
Denmark,7
Ecuador,1
Egypt,5
France,30
Gabon,2
Germany,12
Ghana,5
Greece,2
Guinea,1
Iceland,3
Iran,1
Ireland,24
Italy,5
Jamaica,3
Japan,1
Mali,3
Mexico,1
Morocco,3
Netherlands,18
New Zealand,1
Nigeria,6
Norway,3
Paraguay,2
Poland,7
Portugal,21
Romania,1
Senegal,3
Serbia,5
Slovakia,2
South Korea,1
Spain,28
Sweden,4
Switzerland,4
Democratic Republic of Congo,4
Turkey,3
Ukraine,2
United Kingdom,260
United States,6
Uruguay,1
Zimbabwe,1
